x,y,z
-0.484252,-0.437008,0.00379545
-0.484252,-0.429134,0.0042092
-0.484252,-0.42126,0.00462044
-0.484252,-0.413386,0.00502893
-0.484252,-0.405512,0.00543443
-0.484252,-0.397638,0.0058367
-0.484252,-0.389764,0.00623549
-0.484252,-0.38189,0.00663057
-0.484252,-0.374016,0.00702171
-0.484252,-0.366142,0.00740868
-0.484252,-0.358268,0.00779123
-0.484252,-0.350394,0.00816916
-0.484252,-0.34252,0.00854222
-0.484252,-0.334646,0.00891021
-0.484252,-0.326772,0.0092729
-0.484252,-0.318898,0.00963007
-0.484252,-0.311024,0.00998153
-0.484252,-0.30315,0.010327
-0.484252,-0.295276,0.0106664
-0.484252,-0.287402,0.0109995
-0.484252,-0.279528,0.011326
-0.484252,-0.271654,0.0116458
-0.484252,-0.26378,0.0119586
-0.484252,-0.255906,0.0122644
-0.484252,-0.248031,0.0125629
-0.484252,-0.240157,0.0128539
-0.484252,-0.232283,0.0131373
-0.484252,-0.224409,0.0134129
-0.484252,-0.216535,0.0136805
-0.484252,-0.208661,0.01394
-0.484252,-0.200787,0.0141913
-0.484252,-0.192913,0.0144341
-0.484252,-0.185039,0.0146683
-0.484252,-0.177165,0.0148939
-0.484252,-0.169291,0.0151106
-0.484252,-0.161417,0.0153184
-0.484252,-0.153543,0.0155171
-0.484252,-0.145669,0.0157065
-0.484252,-0.137795,0.0158867
-0.484252,-0.129921,0.0160574
-0.484252,-0.122047,0.0162187
-0.484252,-0.114173,0.0163703
-0.484252,-0.106299,0.0165122
-0.484252,-0.0984252,0.0166443
-0.484252,-0.0905512,0.0167666
-0.484252,-0.0826772,0.0168789
-0.484252,-0.0748031,0.0169812
-0.484252,-0.0669291,0.0170735
-0.484252,-0.0590551,0.0171557
-0.484252,-0.0511811,0.0172276
-0.484252,-0.0433071,0.0172894
-0.484252,-0.0354331,0.017341
-0.484252,-0.0275591,0.0173822
-0.484252,-0.019685,0.0174132
-0.484252,-0.011811,0.0174339
-0.484252,-0.00393701,0.0174442
-0.484252,0.00393701,0.0174442
-0.484252,0.011811,0.0174339
-0.484252,0.019685,0.0174132
-0.484252,0.0275591,0.0173822
-0.484252,0.0354331,0.017341
-0.484252,0.0433071,0.0172894
-0.484252,0.0511811,0.0172276
-0.484252,0.0590551,0.0171557
-0.484252,0.0669291,0.0170735
-0.484252,0.0748031,0.0169812
-0.484252,0.0826772,0.0168789
-0.484252,0.0905512,0.0167666
-0.484252,0.0984252,0.0166443
-0.484252,0.106299,0.0165122
-0.484252,0.114173,0.0163703
-0.484252,0.122047,0.0162187
-0.484252,0.129921,0.0160574
-0.484252,0.137795,0.0158867
-0.484252,0.145669,0.0157065
-0.484252,0.153543,0.0155171
-0.484252,0.161417,0.0153184
-0.484252,0.169291,0.0151106
-0.484252,0.177165,0.0148939
-0.484252,0.185039,0.0146683
-0.484252,0.192913,0.0144341
-0.484252,0.200787,0.0141913
-0.484252,0.208661,0.01394
-0.484252,0.216535,0.0136805
-0.484252,0.224409,0.0134129
-0.484252,0.232283,0.0131373
-0.484252,0.240157,0.0128539
-0.484252,0.248031,0.0125629
-0.484252,0.255906,0.0122644
-0.484252,0.26378,0.0119586
-0.484252,0.271654,0.0116458
-0.484252,0.279528,0.011326
-0.484252,0.287402,0.0109995
-0.484252,0.295276,0.0106664
-0.484252,0.30315,0.010327
-0.484252,0.311024,0.00998153
-0.484252,0.318898,0.00963007
-0.484252,0.326772,0.0092729
-0.484252,0.334646,0.00891021
-0.484252,0.34252,0.00854222
-0.484252,0.350394,0.00816916
-0.484252,0.358268,0.00779123
-0.484252,0.366142,0.00740868
-0.484252,0.374016,0.00702171
-0.484252,0.38189,0.00663057
-0.484252,0.389764,0.00623549
-0.484252,0.397638,0.0058367
-0.484252,0.405512,0.00543443
-0.484252,0.413386,0.00502893
-0.484252,0.42126,0.00462044
-0.484252,0.429134,0.0042092
-0.484252,0.437008,0.00379545
-0.484252,0.444882,0.00337944
-0.484252,0.452756,0.00296143
-0.484252,0.46063,0.00254165
-0.484252,0.468504,0.00212036
-0.484252,0.476378,0.0016978
-0.484252,0.484252,0.00127424
-0.484252,0.492126,0.000849912
-0.484252,0.5,0.000425083

-0.476378,-0.5,0.000566383
-0.476378,-0.492126,0.00113243
-0.476378,-0.484252,0.0016978
-0.476378,-0.476378,0.00226216
-0.476378,-0.468504,0.00282518
-0.476378,-0.46063,0.00338651
-0.476378,-0.452756,0.00394583
-0.476378,-0.444882,0.0045028
-0.476378,-0.437008,0.00505709
-0.476378,-0.429134,0.00560836
-0.476378,-0.42126,0.00615631
-0.476378,-0.413386,0.00670058
-0.476378,-0.405512,0.00724087
-0.476378,-0.397638,0.00777686
-0.476378,-0.389764,0.00830821
-0.476378,-0.38189,0.00883462
-0.476378,-0.374016,0.00935578
-0.476378,-0.366142,0.00987137
-0.476378,-0.358268,0.0103811
-0.476378,-0.350394,0.0108846
-0.476378,-0.34252,0.0113817
-0.476378,-0.334646,0.011872
-0.476378,-0.326772,0.0123553
-0.476378,-0.318898,0.0128312
-0.476378,-0.311024,0.0132995
-0.476378,-0.30315,0.0137598
-0.476378,-0.295276,0.014212
-0.476378,-0.287402,0.0146558
-0.476378,-0.279528,0.0150908
-0.476378,-0.271654,0.0155169
-0.476378,-0.26378,0.0159338
-0.476378,-0.255906,0.0163412
-0.476378,-0.248031,0.0167389
-0.476378,-0.240157,0.0171266
-0.476378,-0.232283,0.0175042
-0.476378,-0.224409,0.0178714
-0.476378,-0.216535,0.018228
-0.476378,-0.208661,0.0185738
-0.476378,-0.200787,0.0189085
-0.476378,-0.192913,0.0192321
-0.476378,-0.185039,0.0195442
-0.476378,-0.177165,0.0198447
-0.476378,-0.169291,0.0201335
-0.476378,-0.161417,0.0204103
-0.476378,-0.153543,0.020675
-0.476378,-0.145669,0.0209275
-0.476378,-0.137795,0.0211675
-0.476378,-0.129921,0.021395
-0.476378,-0.122047,0.0216099
-0.476378,-0.114173,0.0218119
-0.476378,-0.106299,0.022001
-0.476378,-0.0984252,0.022177
-0.476378,-0.0905512,0.0223399
-0.476378,-0.0826772,0.0224896
-0.476378,-0.0748031,0.0226259
-0.476378,-0.0669291,0.0227489
-0.476378,-0.0590551,0.0228583
-0.476378,-0.0511811,0.0229542
-0.476378,-0.0433071,0.0230366
-0.476378,-0.0354331,0.0231052
